x_est,y_est,z_est,x_mocap, y_mocap, z_mocap, x_uwb, y_uwb, z_mb1202
0.0,0.0,0.0,-0.00011444855044828728,3.249549990869127e-05,8.786201215116307e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.00011688995436998084,3.4936903830384836e-05,8.932685886975378e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.00011444855044828728,3.176307654939592e-05,9.054756083060056e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.0001076126063708216,1.711463846731931e-05,9.10358430701308e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.00010272979852743447,9.790420335775707e-06,9.10358430701308e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.0001061477669281885,1.638221692701336e-05,9.25006897887215e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.0001090774530894123,2.3218155547510833e-05,9.323310951003805e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.00011103058204753324,2.6880265068029985e-05,9.494209371041507e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.00011396026820875704,2.956581192847807e-05,9.958076407201588e-05,0.0,0.0,nan
0.0,0.0,0.0,-0.00011835479381261393,3.273964102845639e-05,0.00010373115219408646,0.0,0.0,nan
0.0,0.0,0.0,-0.00012079620501026511,2.956581192847807e-05,0.00010397529695183039,0.0,0.0,nan
0.0,0.0,0.0,-0.00011688995436998084,1.1255264325882308e-05,0.00010592841863399372,0.0,0.0,nan
0.0,0.0,0.0,-0.0001149368254118599,2.479553273815327e-08,0.00011056709627155215,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00011737823660951108,-7.076263273120276e-07,0.00011422920215409249,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00010712433140724897,-9.49668901739642e-06,0.00011007881403202191,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00010126495180884376,-1.5844345398363657e-05,0.00010519599891267717,0.0,0.0,nan
0.0,0.0,0.0,-9.931183012668043e-05,-1.877403337857686e-05,0.0001027545949909836,0.0,0.0,nan
0.0,0.0,0.0,-9.687041892902926e-05,-1.8529892258811742e-05,0.0001012897482723929,0.0,0.0,nan
0.0,0.0,0.0,-9.58938617259264e-05,-1.5844345398363657e-05,0.00010177803051192313,0.0,0.0,nan
0.0,0.0,0.0,-9.58938617259264e-05,-1.2426376088114921e-05,0.00010153389303013682,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.687041892902926e-05,-9.252547897631302e-06,0.00010104561079060659,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.931183012668043e-05,-9.252547897631302e-06,0.00010031318379333243,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.784698340808973e-05,-9.984970347431954e-06,9.83600621111691e-05,0.0,0.0,nan
0.0,0.0,0.0,-9.735870116855949e-05,-1.4135360288491938e-05,9.738349763210863e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.638214396545663e-05,-1.5356063158833422e-05,9.860419959295541e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00010126495180884376,-9.740829227666836e-06,0.00010177803051192313,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00010126495180884376,-2.1947860659565777e-05,0.00010519599891267717,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-0.00010272979852743447,-2.780723661999218e-05,0.00010299873247276992,0.0,0.0,nan
0.0,0.0,0.0,-0.00010419463797006756,-2.7563095500227064e-05,0.00010080146603286266,0.0,0.0,nan
0.0,0.0,0.0,-0.00010272979852743447,-3.000450124091003e-05,0.00010055732855107635,0.0,0.0,nan
0.0,0.0,0.0,-9.980011236621067e-05,-3.4154891181970015e-05,0.0001027545949909836,0.0,0.0,nan
0.0,0.0,0.0,-9.833526564761996e-05,-4.7338486183434725e-05,0.00010666084563126788,0.0,0.0,nan
0.0,0.0,0.0,-9.58938617259264e-05,-5.588340718531981e-05,0.00011032295151380822,0.0,0.0,nan
0.0,0.0,0.0,-9.394073276780546e-05,-4.709434506366961e-05,0.00010666084563126788,0.0,0.0,nan
0.0,0.0,0.0,-9.198761108564213e-05,-4.172325134277344e-05,0.00010495186143089086,0.0,0.0,nan
0.0,0.0,0.0,-9.14993288461119e-05,-3.6596298741642386e-05,0.00010324287723051384,0.0,0.0,nan
0.0,0.0,0.0,-9.052276436705142e-05,-3.171348726027645e-05,0.0001012897482723929,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.052276436705142e-05,-2.8051375920767896e-05,9.884834435069934e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-9.003448212752119e-05,-2.560997018008493e-05,9.860419959295541e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.85696426848881e-05,-2.3168564439401962e-05,9.665107791079208e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.612823148723692e-05,-2.072715687972959e-05,9.567451343173161e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.56399565236643e-05,-1.8285751139046624e-05,9.39655292313546e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.417510980507359e-05,-1.560020427859854e-05,9.152412530966103e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.368682756554335e-05,-1.3158798537915573e-05,9.079170558834448e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-8.368682756554335e-05,-1.2426376088114921e-05,9.054756083060056e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-6.806182500440627e-05,1.0034561455540825e-05,7.394600106636062e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-4.560089291771874e-05,3.2251358788926154e-05,5.197334394324571e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-3.583526631700806e-05,3.396034298930317e-05,4.1963576222769916e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-3.095245483564213e-05,2.9077529688947834e-05,3.7813188100699335e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-2.606964153528679e-05,2.5171279048663564e-05,3.512763942126185e-05,0.0,0.0,0.27000001072883606
0.0,0.0,0.0,-2.216339089500252e-05,2.492713974788785e-05,3.2686231861589476e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-1.923370291478932e-05,2.8345108148641884e-05,3.097724766121246e-05,0.0,0.0,nan
0.0,0.0,0.0,-1.6792297174106352e-05,4.0307997551281005e-05,2.5606155759305693e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-1.5815734514035285e-05,5.76419843127951e-05,1.6328811398125254e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-3.192901567672379e-05,4.616737351170741e-05,3.0000686820130795e-05,0.0,0.0,0.25999999046325684
0.0,0.0,0.0,-4.21829208789859e-05,3.420448410906829e-05,4.416084266267717e-05,0.0,0.0,0.25999999046325684
